# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	29585
#@/user_id	e99bcb09-d6ab-49a3-95df-5fff3ab5639a
a 	啊	c=132 d=1.22016 t=28797
gao da shang 	高大上	c=1 d=1 t=7222
gao ding 	搞定	c=3 d=1 t=21696
gao duan 	高端	c=1 d=1 t=3928
gao feng 	高峯	c=1 d=1 t=169
gao feng qi 	高峯期	c=2 d=1.18177 t=498
gao guo 	高過	c=1 d=1 t=20787
gao ji 	高級	c=2 d=1 t=13700
gao ke yong 	高可用	c=1 d=1 t=26097
gao lao shi 	高老師	c=8 d=1 t=26418
gao lian 	搞練	c=1 d=1 t=9022
gao liang 	高亮	c=3 d=1 t=17528
gao su 	告訴	c=1 d=1 t=23668
gao su 	高速	c=3 d=2.54704 t=24302
gao su huan cun 	高速緩存	c=2 d=1.54064 t=24272
gao xiao 	高效	c=3 d=1.23746 t=1212
gao xing neng 	高性能	c=2 d=1 t=19518
gao yu 	高於	c=2 d=1 t=24170
ge 	個	c=90 d=1.33958 t=28401
ge 	各	c=15 d=1 t=27239
ge 	哥	c=22 d=1.93707 t=24571
ge 	擱	c=1 d=1 t=10046
ge ge 	各個	c=5 d=0.969402 t=23930
ge ge xi tong 	各個系統	c=1 d=1 t=23931
ge men 	哥們	c=3 d=1.8781 t=16241
ge ren 	個人	c=8 d=2.00264 t=25327
ge ren xue xi 	個人學習	c=2 d=1.97045 t=1563
ge ren zhu ye 	個人主頁	c=1 d=1 t=9344
ge shi 	格式	c=8 d=2.05506 t=28007
ge shi hua 	格式化	c=4 d=1 t=13031
ge shu 	個數	c=1 d=1 t=18904
ge shui 	個稅	c=1 d=1 t=28605
ge yue 	個月	c=2 d=1 t=24804
ge zhong 	各種	c=4 d=1.0001 t=26700
gei 	給	c=42 d=1.00445 t=29480
gei bao bao 	給寶寶	c=1 d=1 t=8165
gei ding 	給定	c=2 d=1 t=27596
gei guo 	給過	c=1 d=1 t=9843
gei ni 	給你	c=11 d=1 t=27934
gei ni kan kan 	給你看看	c=1 d=1 t=5785
gei ni lia 	給你倆	c=1 d=1 t=26991
gei ni mai 	給你買	c=1 d=1 t=20201
gei ni zuo dian 	給你做點	c=1 d=1 t=20735
gei ta 	給他	c=1 d=1 t=11091
gei wo 	給我	c=21 d=1 t=27791
gei wo da 	給我打	c=1 d=1 t=20306
gei wo fa 	給我發	c=0 d=0.1 t=24339
gei wo fa yi xia 	給我發一下	c=1 d=1 t=24340
gei wo men 	給我們	c=1 d=1 t=14249
gei zan 	給咱	c=1 d=1 t=2068
gen 	根	c=1 d=1 t=19814
gen 	跟	c=3 d=1.00012 t=26166
gen ben 	根本	c=4 d=1 t=26781
gen bu shang 	跟不上	c=1 d=1 t=16269
gen ju 	根據	c=32 d=3.23922 t=29203
geng 	更	c=17 d=1.00068 t=28044
geng da 	更大	c=2 d=1.87372 t=26838
geng gai 	更改	c=5 d=1 t=28963
geng gai yi xia 	更改一下	c=1 d=1 t=104
geng gao 	更高	c=1 d=1 t=1136
geng gui 	更貴	c=2 d=1 t=24726
geng hao 	更好	c=5 d=2.70482 t=18296
geng huan 	更換	c=1 d=1 t=15488
geng kuai 	更快	c=3 d=1 t=29375
geng qiang 	更強	c=1 d=1 t=13055
geng xiang 	更像	c=1 d=1 t=13054
geng xiao 	更小	c=1 d=1 t=24229
geng xin 	更新	c=55 d=2.49585 t=29127
geng xin yong hu 	更新用戶	c=1 d=1 t=18007
gong ban 	公版	c=2 d=1.92312 t=9467
gong bu 	公佈	c=1 d=1 t=6786
gong ce 	公測	c=2 d=1.98511 t=9466
gong gong 	公共	c=3 d=1.97045 t=21397
gong hao 	工號	c=2 d=1.90484 t=7930
gong ji jin 	公積金	c=1 d=1 t=4273
gong ju 	工具	c=24 d=1.04551 t=23272
gong li 	公里	c=1 d=1 t=6069
gong neng 	功能	c=18 d=1.00005 t=26537
gong nuan 	供暖	c=0 d=0.1 t=22759
gong nuan fei 	供暖費	c=1 d=1 t=22760
gong shi 	公式	c=1 d=1 t=26630
gong si 	公司	c=44 d=1.24052 t=26964
gong xiang 	共享	c=1 d=1 t=4849
gong yong 	共用	c=2 d=1 t=9809
gong zhong 	公衆	c=0 d=0.1 t=27326
gong zhong hao 	公衆好	c=2 d=1.90937 t=27346
gong zi 	工資	c=3 d=1 t=26071
gong zuo 	工作	c=19 d=1.00377 t=28710
gong zuo fen 	工作分	c=1 d=1 t=3081
gong zuo jin zhan 	工作進展	c=2 d=1.96561 t=1561
gong zuo ren yuan 	工作人員	c=1 d=1 t=7682
gou 	夠	c=8 d=1.56906 t=18803
gou 	狗	c=7 d=1.18063 t=3699
gou cheng 	構成	c=2 d=1 t=18427
gou le 	勾勒	c=2 d=1 t=24987
gou shang 	勾上	c=1 d=1 t=684
gou shi 	狗屎	c=1 d=1 t=4129
gou tong 	溝通	c=2 d=1 t=27011
gou wu quan 	購物券	c=1 d=1 t=26621
gou zao 	構造	c=5 d=1 t=16898
gou zao han shu 	構造函數	c=4 d=2.51888 t=12426
gou zao qi 	構造器	c=9 d=3.75152 t=23449
gou zi 	鉤子	c=2 d=1.94176 t=9996
gu ding 	固定	c=1 d=1 t=25903
gu ge 	谷歌	c=4 d=3.92189 t=24898
gu ji 	估計	c=9 d=1.93409 t=26564
gu shi 	古詩	c=1 d=1 t=9044
gu tai 	固態	c=2 d=1.99005 t=9707
gu tong 	古銅	c=1 d=1 t=4247
gu xiang 	故鄉	c=0 d=0.1 t=9736
gu you 	固有	c=1 d=1 t=15327
gu zhang 	故障	c=3 d=2.50816 t=23220
gua 	掛	c=4 d=1 t=26588
gua hao 	掛號	c=1 d=1 t=11677
gua zai 	掛在	c=1 d=1 t=13296
guai 	怪	c=1 d=1 t=14841
guan 	管	c=1 d=1 t=6042
guan bi 	關閉	c=7 d=1.98511 t=24877
guan cha 	觀察	c=1 d=1 t=14740
guan chuan 	貫穿	c=1 d=1 t=23886
guan dao 	管道	c=2 d=1 t=23892
guan fang 	官方	c=1 d=1 t=27247
guan jian 	關鍵	c=2 d=0.1 t=21006
guan jian shi hou 	關鍵時候	c=1 d=1 t=21007
guan jian zi 	關鍵字	c=4 d=1 t=24314
guan li 	管理	c=34 d=2.01061 t=24370
guan li ceng 	管理層	c=1 d=1 t=7205
guan li hou tai 	管理後臺	c=27 d=1.11483 t=19219
guan li yuan 	管理員	c=4 d=1.96079 t=28327
guan lian 	關聯	c=22 d=4.60493 t=29152
guan wang 	官網	c=1 d=1 t=1145
guan xi 	關係	c=7 d=1.80332 t=22757
guan xin 	關心	c=2 d=1.00002 t=14305
guan yu 	關於	c=8 d=1.00225 t=27018
guan zhu dian 	關注點	c=1 d=1 t=14416
guang 	光	c=2 d=1 t=22240
guang biao 	光標	c=3 d=2.97025 t=253
guang gao 	廣告	c=3 d=1 t=17605
guang guang 	逛逛	c=3 d=1 t=21271
guang kai 	廣開	c=2 d=1 t=14859
gui 	貴	c=4 d=1 t=27529
gui dang 	歸檔	c=1 d=1 t=13
gui ding 	規定	c=1 d=1 t=27097
gui fan 	規範	c=4 d=1.21066 t=13125
gui ge 	規格	c=1 d=1 t=27686
gui ge hua 	規格化	c=2 d=1.77492 t=27671
gui hua 	規劃	c=2 d=1.97045 t=4387
gui ze 	規則	c=13 d=1.96572 t=28556
gui zi 	櫃子	c=2 d=1.81465 t=10669
gui zi 	鬼子	c=1 d=1 t=10627
gun lun 	滾輪	c=3 d=2.6816 t=27878
guo 	過	c=33 d=3.14073 t=28886
guo 	鍋	c=1 d=1 t=20507
guo chan 	國產	c=7 d=6.55519 t=654
guo cheng 	過程	c=3 d=1.00001 t=17702
guo duo 	過多	c=3 d=1.9673 t=15129
guo fen 	過分	c=1 d=1 t=26031
guo ji tian 	過幾天	c=1 d=1 t=23576
guo lai 	過來	c=15 d=1.02678 t=26927
guo le 	過了	c=6 d=1 t=17841
guo liang tian 	過兩天	c=3 d=1 t=24464
guo lv 	過濾	c=5 d=1.86995 t=9444
guo lv diao 	過濾掉	c=2 d=1.95123 t=7976
guo lv qi 	過濾器	c=1 d=1 t=27354
guo nei 	國內	c=4 d=1 t=20697
guo nian 	過年	c=2 d=1.5599 t=2716
guo nian hou 	過年後	c=1 d=1 t=2463
guo qi 	國企	c=2 d=1 t=21496
guo qi 	過期	c=1 d=1 t=21497
guo qu 	過去	c=4 d=1 t=26024
guo shao 	過少	c=3 d=2.0584 t=15113
guo wan 	過晚	c=2 d=1.67706 t=14743
guo zao 	過早	c=2 d=1.86936 t=14690
ha 	哈	c=2 d=1 t=15510
ha ha 	哈哈	c=7 d=1.86936 t=28153
ha xi 	哈希	c=5 d=1.93178 t=29420
ha xi biao 	哈希表	c=3 d=2.91683 t=29431
hai 	還	c=65 d=1.31676 t=29159
hai bu 	還不	c=1 d=0.1 t=23347
hai bu cuo 	還不錯	c=2 d=1 t=29278
hai bu ru 	還不如	c=1 d=1 t=4690
hai bu shi 	還不是	c=1 d=1 t=13440
hai bu wan 	還不晚	c=1 d=1 t=23348
hai bu zhi dao 	還不知道	c=1 d=1 t=24344
hai chi 	還喫	c=1 d=1 t=8015
hai dei 	還得	c=1 d=1 t=13921
hai dian 	海淀	c=1 d=1 t=27787
hai dian fu you 	海淀婦幼	c=1 d=1 t=11469
hai hao 	還好	c=2 d=1 t=23314
hai hao ba 	還好吧	c=2 d=1 t=26922
hai hui 	還會	c=1 d=1 t=23198
hai kai 	還開	c=1 d=1 t=4159
hai kan 	還看	c=0 d=0.1 t=4682
hai ke yi 	還可以	c=2 d=1 t=22200
hai mei 	還沒	c=14 d=1.57984 t=29577
hai mei hui 	還沒回	c=1 d=1 t=9295
hai mei kai shi 	還沒開始	c=1 d=1 t=1732
hai mei qu 	還沒去	c=1 d=1 t=11686
hai mei you 	還沒有	c=1 d=1 t=11897
hai neng 	還能	c=8 d=1 t=27535
hai pa 	害怕	c=1 d=1 t=4803
hai shi 	還是	c=42 d=1.18365 t=27592
hai shi shuo 	還是說	c=1 d=1 t=26146
hai shi you xie 	還是有些	c=1 d=1 t=6732
hai suan 	還算	c=1 d=1 t=28898
hai teng 	還疼	c=1 d=1 t=26958
hai wang 	海王	c=3 d=2.76059 t=8067
hai xia yu 	還下雨	c=1 d=1 t=18875
hai xiang 	還想	c=2 d=1 t=29550
hai xiao 	還小	c=3 d=1 t=18149
hai xin de guo 	還信得過	c=1 d=1 t=24738
hai xing 	還行	c=2 d=0.1 t=26409
hai xing ba 	還行吧	c=1 d=1 t=10516
hai yao 	還要	c=1 d=1 t=21213
hai you 	還有	c=39 d=1.82694 t=28523
hai you bi yao 	還有必要	c=1 d=1 t=1890
hai you dian 	還有點	c=1 d=1 t=9889
hai you ge wen ti 	還有個問題	c=1 d=1 t=9867
hai you mei you 	還有沒有	c=1 d=1 t=27152
hai you wen ti 	還有問題	c=1 d=1 t=10056
hai zai 	還在	c=8 d=1 t=24217
hai zao 	還早	c=1 d=1 t=25176
hai zhen 	還真	c=1 d=1 t=11135
hai zi 	孩子	c=7 d=1.00002 t=21273
han 	喊	c=1 d=1 t=9293
han 	漢	c=1 d=1 t=133
han shu 	函數	c=62 d=1.00003 t=26631
han shu ku 	函數庫	c=1 d=1 t=23793
han shu ming 	函數名	c=2 d=1.97045 t=10977
han shu zhan 	函數棧	c=1 d=1 t=10965
han shu zhi 	函數值	c=1 d=1 t=14550
han yi 	含義	c=2 d=1 t=28675
hang 	行	c=1 d=1 t=126
hang xian 	航線	c=1 d=1 t=14175
hao 	好	c=123 d=1.40703 t=29581
hao 	號	c=26 d=1.90937 t=27347
hao 	郝	c=1 d=1 t=26448
hao ba 	好吧	c=8 d=1.00035 t=29120
hao bu hao 	好不好	c=1 d=1 t=26474
hao bu rong yi 	好不容易	c=1 d=1 t=7313
hao chang 	好長	c=1 d=1 t=4886
hao chi 	好喫	c=4 d=1 t=28187
hao chi de 	好喫的	c=1 d=1 t=20736
hao chu 	好處	c=1 d=1 t=18469
hao de 	好的	c=17 d=1 t=29567
hao dian 	好點	c=1 d=1 t=8155
hao duo 	好多	c=4 d=1 t=28178
hao hai zi 	好孩子	c=2 d=1.97045 t=24740
hao hao 	好好	c=4 d=1.00005 t=19948
hao hao nong 	好好弄	c=1 d=1 t=3872
hao he 	好喝	c=1 d=1 t=27975
hao ji 	好幾	c=0 d=0.1 t=1463
hao ji bai 	好幾百	c=1 d=1 t=16049
hao ji ci 	好幾次	c=3 d=1.90937 t=22565
hao ji ge 	好幾個	c=2 d=1 t=16083
hao ji nian 	好幾年	c=3 d=1.96561 t=24861
hao ji tian 	好幾天	c=1 d=1 t=27949
hao ji wan 	好幾萬	c=1 d=1 t=1380
hao ji zhen 	好幾針	c=1 d=1 t=1464
hao jiu 	好久	c=2 d=1.97045 t=5845
hao kan 	好看	c=1 d=1 t=20189
hao le 	好了	c=5 d=1.00045 t=23807
hao leng 	好冷	c=1 d=1 t=19468
hao qi 	好奇	c=2 d=1 t=27315
hao xiang 	好像	c=18 d=1.0005 t=29542
hao yang mao 	好羊毛	c=1 d=1 t=26583
hao you 	好友	c=1 d=1 t=14126
he 	合	c=2 d=1 t=27161
he 	和	c=220 d=3.58286 t=29451
he 	喝	c=3 d=1 t=29115
he 	盒	c=1 d=1 t=11714
he bei 	河北	c=1 d=1 t=21103
he bing 	合併	c=23 d=1.0668 t=23824
he dian 	喝點	c=1 d=1 t=26961
he dui 	覈對	c=1 d=1 t=21606
he fa 	合法	c=1 d=1 t=12990
he ge 	合格	c=3 d=1.00092 t=19048
he ge liang 	合格量	c=2 d=1.00092 t=18956
he ni 	和你	c=1 d=1 t=4904
he ni shuo 	和你說	c=2 d=1.00051 t=26426
he ni yi qi 	和你一起	c=1 d=1 t=5847
he shi 	何時	c=2 d=1.00038 t=15830
he shi 	合適	c=5 d=1.8825 t=29563
he shui 	喝水	c=1 d=1 t=26908
he tong 	合同	c=1 d=1 t=10678
he wo 	和我	c=2 d=1 t=17319
he wo shuo 	和我說	c=3 d=1 t=21767
he xin 	核心	c=4 d=1.00003 t=26180
he yue 	合約	c=1 d=1 t=5736
he zhou 	喝粥	c=1 d=1 t=25175
he zuo 	合作	c=1 d=1 t=16413
hei 	黑	c=1 d=1 t=10170
hei ming dan 	黑名單	c=5 d=1 t=21967
hen 	很	c=16 d=1.00142 t=28678
hen 	狠	c=0 d=0.1 t=16182
hen bu xing 	很不幸	c=1 d=1 t=14608
hen cha 	很差	c=2 d=1.85642 t=12696
hen chang 	很長	c=1 d=1 t=19669
hen da 	很大	c=3 d=1 t=25127
hen dui 	很對	c=1 d=1 t=28763
hen duo 	很多	c=5 d=0.100495 t=28100
hen duo dian 	很多店	c=1 d=1 t=28101
hen gao 	很高	c=1 d=1 t=1200
hen hao 	很好	c=3 d=1.00556 t=15456
hen kan hao wo 	很看好我	c=1 d=1 t=3735
hen ke neng 	很可能	c=1 d=1 t=13401
hen mang 	很忙	c=2 d=1 t=23846
hen nan 	很難	c=0 d=0.1 t=12906
hen nan yu dao 	很難遇到	c=1 d=1 t=12907
hen qiang 	很強	c=1 d=1 t=17954
hen rong yi 	很容易	c=2 d=1.00105 t=15134
hen shi 	很是	c=1 d=1 t=20046
hen wen 	很穩	c=1 d=1 t=7307
hen yan zhong 	很嚴重	c=1 d=1 t=7451
hen you yong 	很有用	c=3 d=1 t=25941
hen zao 	很早	c=2 d=1 t=20223
hen zhong yao 	很重要	c=2 d=1 t=26651
heng heng 	哼哼	c=1 d=1 t=22865
heng ji 	哼唧	c=2 d=1.31506 t=22799
heng xian 	橫線	c=1 d=1 t=10335
heng zhe 	橫着	c=1 d=1 t=22820
hong 	宏	c=3 d=2.79415 t=13382
hong 	洪	c=1 d=1 t=18885
hong bao 	紅包	c=2 d=1.8825 t=213
hong hei 	紅黑	c=3 d=1.08126 t=29395
hong ren wu 	宏任務	c=1 d=1 t=13383
hong se 	紅色	c=2 d=1.56553 t=8163
hong sheng 	洪昇	c=0 d=0.1 t=195
hou 	後	c=19 d=1 t=29219
hou duan 	後端	c=25 d=0.1 t=28696
hou lai 	後來	c=3 d=1 t=27923
hou long 	喉嚨	c=1 d=1 t=18674
hou lu 	後路	c=1 d=1 t=7234
hou mian 	後面	c=11 d=1.73359 t=26532
hou tai 	後臺	c=28 d=1.016 t=23377
hou tian 	後天	c=1 d=1 t=13970
hou xu 	後續	c=5 d=1.34157 t=23017
hou xuan ren 	候選人	c=1 d=1 t=22313
hou zhui 	後綴	c=4 d=2.91699 t=5745
hu 	乎	c=2 d=1 t=28410
hu 	湖	c=1 d=1 t=3946
hu huan 	互換	c=1 d=1 t=16718
hu huan 	呼喚	c=1 d=1 t=16716
hu ji 	戶籍	c=1 d=1 t=6043
hu kou 	戶口	c=2 d=0.477551 t=7479
hu kou ye 	戶口頁	c=1 d=1 t=6348
hu lve 	忽略	c=4 d=1.96116 t=16751
hu tong 	衚衕	c=1 d=1 t=4248
hu you 	忽悠	c=1 d=1 t=21673
hua 	化	c=4 d=1 t=27688
hua 	畫	c=1 d=1 t=7148
hua 	花	c=12 d=1.82223 t=26236
hua 	華	c=3 d=1 t=18812
hua 	話	c=28 d=1.99574 t=28520
hua cai 	華彩	c=1 d=1 t=29253
hua fei 	花費	c=3 d=1 t=19668
hua fei 	話費	c=19 d=1.74082 t=26619
hua qian 	花錢	c=2 d=1 t=24365
hua wei 	華爲	c=8 d=1.00558 t=21298
hua yan 	化驗	c=2 d=1.1764 t=12068
hua yuan 	花園	c=1 d=1 t=135
huai 	壞	c=4 d=1 t=27927
huai yun 	懷孕	c=1 d=1 t=27395
huan 	換	c=14 d=1.00013 t=26558
huan 	環	c=2 d=1.94649 t=23062
huan 	還	c=4 d=1.04813 t=20122
huan cheng 	換成	c=1 d=1 t=9196
huan cun 	緩存	c=7 d=1.99501 t=29320
huan ge 	換個	c=1 d=1 t=9199
huan jing 	環境	c=47 d=4.01541 t=29508
huan ju hua shuo 	換句話說	c=1 d=1 t=14335
huan shi 	歡實	c=1 d=1 t=17234
huan yi ge 	換一個	c=1 d=1 t=11031
huan yuan 	還原	c=7 d=1 t=27826
huang 	慌	c=1 d=1 t=4809
hui 	回	c=19 d=1 t=27751
hui 	惠	c=2 d=1.54881 t=5493
hui 	會	c=83 d=1.0116 t=28450
hui bao 	回報	c=1 d=1 t=1555
hui bao 	彙報	c=1 d=1 t=1556
hui bian 	彙編	c=2 d=1.8962 t=23728
hui bian qi 	彙編器	c=1 d=1 t=23729
hui bu hui 	會不會	c=3 d=1.00039 t=6827
hui da 	回答	c=4 d=2.83607 t=18135
hui diao 	回調	c=85 d=2.6865 t=28994
hui diao han shu 	回調函數	c=3 d=2.06994 t=14633
hui fu 	回覆	c=1 d=1 t=16699
hui gu 	回顧	c=0 d=0.1 t=14634
hui gu yi xia 	回顧一下	c=1 d=1 t=14635
hui jia 	回家	c=11 d=1 t=27487
hui jia chi fan 	回家喫飯	c=1 d=1 t=262
hui jian 	會見	c=1 d=1 t=11284
hui lai 	回來	c=12 d=1 t=29030
hui qu 	回去	c=29 d=1.00814 t=29059
hui se 	晦澀	c=1 d=1 t=12838
hui shi 	回事	c=2 d=1 t=14086
hui tou 	回頭	c=8 d=1.0283 t=28096
hui yi 	回憶	c=1 d=1 t=14186
hui yi 	會議	c=1 d=1 t=114
hui yong 	會用	c=0 d=0.1 t=13347
hui you 	會有	c=4 d=1 t=28952
hui yuan 	會員	c=8 d=1.05169 t=9397
hui zai 	會在	c=1 d=1 t=13329
hui zen yang 	會怎樣	c=1 d=1 t=3165
hui zong 	彙總	c=3 d=1.99501 t=28608
hun 	混	c=2 d=1.57407 t=7314
hun li 	婚禮	c=1 d=0.1 t=14846
hun li zhao pian 	婚禮照片	c=1 d=1 t=14847
hun sha zhao 	婚紗照	c=1 d=1 t=21710
hun xiao 	混淆	c=4 d=1 t=28863
huo 	或	c=34 d=1.00833 t=28947
huo 	活	c=5 d=1 t=23851
huo 	貨	c=1 d=1 t=27340
huo dong 	活動	c=2 d=1.00058 t=26541
huo fa 	活法	c=2 d=1.97531 t=7136
huo guan 	火罐	c=1 d=1 t=21249
huo qu 	獲取	c=24 d=1.01467 t=29224
huo yong 	活用	c=1 d=1 t=12920
huo zhe 	或者	c=11 d=1.00018 t=27718
ji 	即	c=13 d=1 t=27733
ji 	急	c=1 d=1 t=7845
ji 	技	c=1 d=1 t=27891
ji 	既	c=1 d=1 t=27632
ji 	機	c=1 d=1 t=26186
ji 	級	c=4 d=1.68752 t=28071
ji 	記	c=0 d=0.1 t=25991
ji 	集	c=2 d=1.9802 t=27989
ji bai 	幾百	c=1 d=1 t=24181
ji bao 	幾包	c=1 d=1 t=19923
ji ben 	基本	c=16 d=1 t=28643
ji ben lei xing 	基本類型	c=2 d=1.85214 t=12304
ji ben shang 	基本上	c=1 d=1 t=24859
ji bian 	即便	c=1 d=1 t=29534
ji bie 	級別	c=4 d=3.21596 t=16517
ji bu qing 	記不清	c=1 d=1 t=28868
ji bu zhu 	記不住	c=2 d=1 t=13071
ji cheng 	繼承	c=1 d=1 t=11366
ji cheng 	集成	c=16 d=1.00014 t=23280
ji chu 	基礎	c=9 d=1.59842 t=29463
ji chu jia gou 	基礎架構	c=1 d=1 t=1637
ji chu shang 	基礎上	c=2 d=1 t=25894
ji ci 	幾次	c=1 d=1 t=8035
ji cun qi 	寄存器	c=3 d=2.59666 t=24196
ji de 	記得	c=3 d=1 t=15967
ji de zhu 	記得住	c=1 d=1 t=986
ji dian 	幾點	c=8 d=0.1 t=28614
ji du 	季度	c=2 d=1 t=6430
ji fang 	機房	c=1 d=1 t=22348
ji fen 	積分	c=3 d=1 t=21862
ji ge 	幾個	c=25 d=1 t=27957
ji ge ren 	幾個人	c=1 d=1 t=3062
ji hao 	幾號	c=1 d=1 t=28794
ji he 	集合	c=3 d=1.08892 t=25893
ji hu 	幾乎	c=3 d=1.00097 t=25594
ji hua 	計劃	c=6 d=1.00005 t=26530
ji hui 	機會	c=2 d=1 t=16320
ji huo 	激活	c=6 d=1 t=21484
ji huo ma 	激活碼	c=2 d=1.86936 t=10365
ji jie 	幾節	c=1 d=1 t=4894
ji jie 	集結	c=1 d=1 t=24240
ji ke 	即可	c=5 d=1 t=26294
ji kuai qian 	幾塊錢	c=1 d=1 t=26604
ji lu 	記錄	c=51 d=1.92774 t=26144
ji nan 	濟南	c=1 d=1 t=7403
ji neng 	技能	c=3 d=2.8437 t=22202
ji neng 	既能	c=1 d=1 t=27060
ji nian 	幾年	c=2 d=1.79852 t=7247
ji nian 	紀念	c=1 d=1 t=27407
ji qi 	機器	c=27 d=0.318662 t=29543
ji qi shang 	機器上	c=2 d=1 t=25597
ji qi xue xi 	機器學習	c=1 d=1 t=29544
ji qi yu yan 	機器語言	c=1 d=1 t=23732
ji qiao 	技巧	c=3 d=1.8825 t=19712
ji qun 	集羣	c=3 d=1.96079 t=21839
ji ran 	既然	c=1 d=1 t=14479
ji shi 	即使	c=5 d=1 t=27128
ji shi 	及時	c=1 d=1 t=14734
ji shi 	幾十	c=1 d=1 t=24190
ji shi 	計時	c=2 d=1.97531 t=28591
ji shu 	技術	c=5 d=1.61878 t=24308
ji shu qi 	計數器	c=1 d=1 t=24124
ji shu zhan 	技術棧	c=3 d=1 t=16367
ji suan 	計算	c=20 d=1.39476 t=28840
ji suan ji 	計算機	c=7 d=1.00276 t=28238
ji suan ji wang luo 	計算機網絡	c=1 d=1 t=9631
ji ti 	集體	c=1 d=1 t=5192
ji tian 	幾天	c=1 d=1 t=9247
ji xia lai 	記下來	c=1 d=1 t=21504
ji xian 	極限	c=1 d=1 t=29406
ji xiang 	幾項	c=2 d=1.00034 t=3047
ji xiao 	績效	c=13 d=1 t=23770
ji xie 	機械	c=0 d=0.1 t=24150
ji xie yuan li 	機械原理	c=1 d=1 t=24151
ji xu 	繼續	c=5 d=1 t=23199
ji yi 	記憶	c=1 d=1 t=13067
ji yu 	基於	c=2 d=1 t=23326
ji zhang 	幾張	c=2 d=1 t=27388
ji zhang 	記賬	c=3 d=2.9459 t=25999
ji zhi 	機制	c=11 d=1 t=28639
ji zhong 	幾種	c=3 d=1 t=22463
ji zhong 	集中	c=1 d=1 t=22464
jia 	佳	c=1 d=1 t=28801
jia 	假	c=4 d=1 t=26995
jia 	價	c=7 d=1.86012 t=1478
jia 	加	c=40 d=1.99731 t=24981
jia 	家	c=4 d=1 t=21124
jia ban 	加班	c=7 d=1 t=23850
jia cu 	加粗	c=1 d=1 t=6484
jia da 	加大	c=1 d=1 t=24219
jia de 	假的	c=1 d=1 t=23554
jia de 	家的	c=1 d=1 t=23553
jia ding 	假定	c=2 d=1 t=27443
jia duo 	加多	c=0 d=0.1 t=1546
jia duo bao 	加多寶	c=1 d=1 t=1547
jia fa 	加法	c=4 d=1.96876 t=27085
jia ge 	價格	c=2 d=1.85214 t=4098
jia gou 	架構	c=8 d=1 t=27990
jia hao le 	加好了	c=1 d=1 t=21766
jia kuai 	加快	c=1 d=1 t=19621
jia li 	家裏	c=6 d=1 t=21663
jia li hai you 	家裏還有	c=1 d=1 t=7648
jia li shuo 	家裏說	c=1 d=1 t=19256
jia mi 	加密	c=16 d=1 t=24499
jia qi lai 	加起來	c=3 d=1 t=6559
jia ru 	加入	c=1 d=1 t=29551
jia shang 	加上	c=5 d=1 t=24863
jia she 	假設	c=5 d=1.77105 t=25676
jia su 	加速	c=1 d=1 t=82
jia yi ge 	加一個	c=1 d=1 t=15811
jia yi xia 	加一下	c=1 d=1 t=21811
jia yuan 	家園	c=1 d=1 t=5364
jia zai 	加載	c=5 d=1 t=23837
jia zhao 	駕照	c=1 d=1 t=4881
jia zhi guan 	價值觀	c=1 d=1 t=3085
jia zhuang xian 	甲狀腺	c=2 d=1.9802 t=15916
jian 	劍	c=1 d=1 t=19129
jian 	建	c=3 d=1.00047 t=24573
jian 	減	c=10 d=1 t=24846
jian 	箭	c=1 d=1 t=23245
jian 	鍵	c=4 d=1 t=21467
jian 	間	c=0 d=0.1 t=4107
jian ce 	檢測	c=2 d=1.0302 t=11948
jian ce 	監測	c=3 d=1 t=11247
jian cha 	檢查	c=3 d=1 t=28295
jian cheng 	簡稱	c=1 d=1 t=24091
jian chi 	堅持	c=3 d=1 t=20654
jian dan 	簡單	c=14 d=1.00001 t=29553
jian dan yi zhi 	簡單一致	c=1 d=1 t=24387
jian fa 	劍法	c=1 d=1 t=27086
jian fa 	減法	c=1 d=1 t=27087
jian fei 	減肥	c=1 d=1 t=28351
jian ge 	間隔	c=6 d=1.95175 t=25153
jian guo 	堅果	c=4 d=1.00005 t=23240
jian guo 	見過	c=1 d=1 t=2982
jian hua 	簡化	c=1 d=1 t=12926
jian jian 	剪剪	c=1 d=1 t=28279
jian jie 	簡介	c=2 d=1 t=4758
jian jie 	簡潔	c=4 d=1 t=4757
jian kang 	健康	c=5 d=1 t=22050
jian kong 	監控	c=1 d=1 t=22349
jian kou 	減釦	c=1 d=1 t=9079
jian li 	建立	c=8 d=1.33287 t=25797
jian li 	簡歷	c=5 d=1 t=29541
jian li shang 	簡歷上	c=1 d=1 t=22242
jian nan 	艱難	c=1 d=1 t=4460
jian pan 	鍵盤	c=23 d=1.69648 t=26197
jian pan shu biao 	鍵盤鼠標	c=1 d=1 t=20267
jian quan 	健全	c=1 d=1 t=17699
jian quan 	鑑權	c=16 d=2.78069 t=29216
jian ren jian zhi 	見仁見智	c=1 d=1 t=13105
jian rong 	兼容	c=9 d=1 t=28340
jian shao 	減少	c=1 d=1 t=25250
jian she xing 	建設性	c=1 d=1 t=14048
jian shi 	監視	c=3 d=2.02111 t=23200
jian ting 	監聽	c=14 d=4.66711 t=18630
jian ting qi 	監聽器	c=2 d=1 t=14430
jian tou 	箭頭	c=5 d=1 t=22069
